Data (DD/MM/YYYY);Przepustowo
07.01.2025;0
08.01.2025;2
09.01.2025;10
10.01.2025;3
11.01.2025;0
12.01.2025;0
13.01.2025;2
14.01.2025;3
15.01.2025;7
16.01.2025;0
17.01.2025;0
18.01.2025;0
19.01.2025;0
20.01.2025;5
21.01.2025;2
22.01.2025;0
23.01.2025;0
24.01.2025;0
25.01.2025;0
26.01.2025;0
27.01.2025;1
28.01.2025;1
29.01.2025;0
30.01.2025;5
31.01.2025;4
01.02.2025;0
02.02.2025;0
03.02.2025;7
04.02.2025;0
05.02.2025;2
06.02.2025;2
07.02.2025;12
08.02.2025;0
09.02.2025;0
10.02.2025;1
11.02.2025;0
12.02.2025;0
13.02.2025;2
14.02.2025;12
15.02.2025;0
16.02.2025;0
17.02.2025;1
18.02.2025;0
19.02.2025;0
20.02.2025;3
21.02.2025;11
22.02.2025;0
23.02.2025;0
24.02.2025;6
25.02.2025;0
26.02.2025;0
27.02.2025;6
28.02.2025;7
01.03.2025;0
02.03.2025;0
03.03.2025;2
04.03.2025;0
05.03.2025;0
06.03.2025;3
07.03.2025;5
08.03.2025;0
09.03.2025;0
10.03.2025;1
11.03.2025;0
12.03.2025;0
13.03.2025;9
14.03.2025;7
15.03.2025;0
16.03.2025;0
17.03.2025;3
18.03.2025;0
19.03.2025;0
20.03.2025;4
21.03.2025;10
22.03.2025;0
23.03.2025;0
24.03.2025;1
25.03.2025;0
26.03.2025;0
27.03.2025;5
28.03.2025;1
29.03.2025;0
30.03.2025;0
31.03.2025;2
01.04.2025;0
02.04.2025;0
03.04.2025;2
04.04.2025;11
05.04.2025;0
06.04.2025;0
07.04.2025;1
08.04.2025;0
09.04.2025;0
10.04.2025;5
11.04.2025;2
12.04.2025;0
13.04.2025;0
14.04.2025;1
15.04.2025;0
16.04.2025;0
17.04.2025;4
18.04.2025;7
19.04.2025;0
